1,0.09,10,10.0,1230.00,300.00,230.00,150.00,300.00,290.00,300.00,260.00,290.00,300.00
2,0.20,10,10.0,290.00,70.00,200.00,170.00,960.00,350.00,300.00,1850.00,290.00,300.00
3,0.30,10,10.0,150.00,280.00,1240.00,300.00,300.00,100.00,10.00,300.00,300.00,50.00
4,0.36,10,10.0,70.00,1280.00,300.00,290.00,910.00,70.00,1070.00,10.00,240.00,300.00
5,0.41,10,10.0,300.00,300.00,300.00,290.00,10.00,300.00,180.00,10.00,10.00,1280.00
6,0.45,10,10.0,150.00,180.00,300.00,270.00,300.00,250.00,300.00,1210.00,280.00,280.00
7,0.49,10,10.0,290.00,300.00,300.00,990.00,1540.00,250.00,300.00,300.00,240.00,300.00
8,0.47,10,10.0,140.00,10.00,210.00,300.00,50.00,300.00,210.00,300.00,300.00,110.00
9,0.52,10,10.0,300.00,290.00,350.00,80.00,230.00,990.00,80.00,300.00,300.00,300.00
10,0.52,10,10.0,300.00,860.00,300.00,350.00,300.00,300.00,100.00,300.00,180.00,290.00
11,0.56,10,10.0,70.00,60.00,300.00,160.00,300.00,290.00,290.00,290.00,1240.00,300.00
12,0.59,10,10.0,1250.00,290.00,300.00,300.00,300.00,240.00,300.00,300.00,300.00,300.00
13,0.58,10,10.0,80.00,300.00,1220.00,70.00,30.00,280.00,10.00,300.00,300.00,10.00
14,0.59,10,10.0,290.00,210.00,300.00,1170.00,300.00,300.00,10.00,300.00,240.00,300.00
15,0.61,10,10.0,300.00,300.00,300.00,300.00,300.00,780.00,300.00,20.00,300.00,970.00
16,0.62,10,10.0,1120.00,1170.00,300.00,880.00,960.00,300.00,170.00,1440.00,290.00,270.00
17,0.64,10,10.0,50.00,300.00,300.00,10.00,300.00,290.00,280.00,300.00,300.00,300.00
18,0.65,10,10.0,1170.00,1240.00,920.00,290.00,280.00,200.00,870.00,170.00,290.00,10.00
19,0.51,10,10.0,180.00,10.00,70.00,200.00,3160.00,20.00,230.00,300.00,40.00,120.00
20,0.64,10,10.0,80.00,40.00,1100.00,1230.00,180.00,300.00,300.00,280.00,240.00,300.00
21,0.62,10,10.0,300.00,300.00,300.00,1270.00,2050.00,310.00,300.00,270.00,290.00,300.00
22,0.63,10,10.0,130.00,30.00,1180.00,320.00,300.00,300.00,240.00,300.00,920.00,290.00
23,0.65,10,10.0,300.00,80.00,190.00,960.00,300.00,300.00,50.00,290.00,30.00,1010.00
24,0.66,10,10.0,990.00,350.00,300.00,300.00,300.00,290.00,40.00,150.00,200.00,300.00
25,0.70,10,10.0,300.00,340.00,1240.00,130.00,300.00,270.00,1170.00,300.00,80.00,280.00
